credit_score,monthly_income_aed,status
300.00,0.00,soft_decline
300.00,625.00,soft_decline
300.00,1250.00,soft_decline
300.00,1875.00,soft_decline
300.00,2500.00,soft_decline
300.00,3125.00,soft_decline
300.00,3750.00,soft_decline
300.00,4375.00,soft_decline
300.00,5000.00,soft_decline
300.00,5625.00,soft_decline
300.00,6250.00,soft_decline
300.00,6875.00,soft_decline
300.00,7500.00,soft_decline
300.00,8125.00,soft_decline
300.00,8750.00,soft_decline
300.00,9375.00,soft_decline
300.00,10000.00,soft_decline
300.00,10625.00,soft_decline
300.00,11250.00,soft_decline
300.00,11875.00,soft_decline
300.00,12500.00,soft_decline
300.00,13125.00,soft_decline
300.00,13750.00,soft_decline
300.00,14375.00,soft_decline
300.00,15000.00,soft_decline
325.00,0.00,soft_decline
325.00,625.00,soft_decline
325.00,1250.00,soft_decline
325.00,1875.00,soft_decline
325.00,2500.00,soft_decline
325.00,3125.00,soft_decline
325.00,3750.00,soft_decline
325.00,4375.00,soft_decline
325.00,5000.00,soft_decline
325.00,5625.00,soft_decline
325.00,6250.00,soft_decline
325.00,6875.00,soft_decline
325.00,7500.00,soft_decline
325.00,8125.00,soft_decline
325.00,8750.00,soft_decline
325.00,9375.00,soft_decline
325.00,10000.00,soft_decline
325.00,10625.00,soft_decline
325.00,11250.00,soft_decline
325.00,11875.00,soft_decline
325.00,12500.00,soft_decline
325.00,13125.00,soft_decline
325.00,13750.00,soft_decline
325.00,14375.00,soft_decline
325.00,15000.00,soft_decline
350.00,0.00,soft_decline
350.00,625.00,soft_decline
350.00,1250.00,soft_decline
350.00,1875.00,soft_decline
350.00,2500.00,soft_decline
350.00,3125.00,soft_decline
350.00,3750.00,soft_decline
350.00,4375.00,soft_decline
350.00,5000.00,soft_decline
350.00,5625.00,soft_decline
350.00,6250.00,soft_decline
350.00,6875.00,soft_decline
350.00,7500.00,soft_decline
350.00,8125.00,soft_decline
350.00,8750.00,soft_decline
350.00,9375.00,soft_decline
350.00,10000.00,soft_decline
350.00,10625.00,soft_decline
350.00,11250.00,soft_decline
350.00,11875.00,soft_decline
350.00,12500.00,soft_decline
350.00,13125.00,soft_decline
350.00,13750.00,soft_decline
350.00,14375.00,soft_decline
350.00,15000.00,soft_decline
375.00,0.00,soft_decline
375.00,625.00,soft_decline
375.00,1250.00,soft_decline
375.00,1875.00,soft_decline
375.00,2500.00,soft_decline
375.00,3125.00,soft_decline
375.00,3750.00,soft_decline
375.00,4375.00,soft_decline
375.00,5000.00,soft_decline
375.00,5625.00,soft_decline
375.00,6250.00,soft_decline
375.00,6875.00,soft_decline
375.00,7500.00,soft_decline
375.00,8125.00,soft_decline
375.00,8750.00,soft_decline
375.00,9375.00,soft_decline
375.00,10000.00,soft_decline
375.00,10625.00,soft_decline
375.00,11250.00,soft_decline
375.00,11875.00,soft_decline
375.00,12500.00,soft_decline
375.00,13125.00,soft_decline
375.00,13750.00,soft_decline
375.00,14375.00,soft_decline
375.00,15000.00,soft_decline
400.00,0.00,soft_decline
400.00,625.00,soft_decline
400.00,1250.00,soft_decline
400.00,1875.00,soft_decline
